수목해충학 용어 중 수목관리학 기출에 나온 용어 (총 298개)
============================================================
ATP                            | 7회 132번
줄기                             | 10회 103번
줄기                             | 10회 105번
줄기                             | 11회 104번
줄기                             | 11회 109번
줄기                             | 11회 110번
증발                             | 5회 120번
지방                             | 5회 108번
지방                             | 6회 104번
지방                             | 7회 106번
지방                             | 7회 108번
지방                             | 7회 117번
지방                             | 7회 128번
지방                             | 8회 108번
지방                             | 8회 122번
지방                             | 10회 106번
지방                             | 11회 102번
지방산                            | 7회 128번
지방산                            | 8회 122번
지베렐린                           | 8회 116번
지질                             | 6회 132번
지질                             | 6회 134번
지질                             | 7회 127번
지질                             | 9회 110번
질소                             | 5회 109번
질소                             | 5회 114번
질소                             | 5회 118번
질소                             | 5회 123번
질소                             | 6회 115번
질소                             | 6회 116번
질소                             | 7회 104번
질소                             | 7회 120번
질소                             | 8회 114번
질소                             | 9회 114번
질소                             | 10회 112번
질소                             | 11회 113번
책상조직                           | 6회 115번
책상조직                           | 8회 113번
책상조직                           | 10회 110번
천근성                            | 5회 105번
천근성                            | 8회 110번
천근성                            | 9회 102번
천근성                            | 11회 103번
침수                             | 7회 116번
침수                             | 11회 109번
칼륨                             | 5회 109번
칼륨                             | 5회 114번
칼륨                             | 9회 114번
칼륨                             | 10회 112번
칼륨                             | 11회 113번
칼슘                             | 5회 109번
칼슘                             | 5회 114번
칼슘                             | 7회 121번
칼슘                             | 7회 122번
칼슘                             | 9회 114번
칼슘                             | 11회 113번
탄수화물                           | 5회 102번
토양온도                           | 6회 109번
편심생장                           | 6회 120번
편심생장                           | 8회 110번
표토                             | 5회 101번
표토                             | 5회 109번
해면조직                           | 7회 120번
해면조직                           | 8회 113번
해면조직                           | 10회 110번
호흡                             | 7회 132번
호흡                             | 10회 109번
호흡                             | 11회 119번
화아                             | 6회 102번
환원                             | 5회 136번
황화현상                           | 8회 111번
황화현상                           | 10회 110번
효소                             | 6회 134번
효소                             | 7회 123번
효소                             | 7회 128번
효소                             | 10회 121번
효소                             | 10회 122번
효소                             | 11회 117번
